ime,pozicija,ekipa,st_tekem,minute_na_tekmo,tocke,fgm-fga,fg%,3pm-3pa,3p%,ftm-fta,ft%
James Harden,PG,HOU,72,35.4,30.4,9.0-20.1,.449,3.7-10.0,.367,8.7-10.1,.858
Anthony Davis,PF,NO,75,36.4,28.1,10.4-19.5,.534,0.7-2.2,.340,6.6-8.0,.828
LeBron James,SF,CLE,82,36.9,27.5,10.5-19.3,.542,1.8-5.0,.367,4.7-6.5,.731
Damian Lillard,PG,POR,73,36.6,26.9,8.5-19.4,.439,3.1-8.6,.361,6.8-7.4,.916
Giannis Antetokounmpo,PF,MIL,75,36.7,26.9,9.9-18.7,.529,0.6-1.9,.307,6.5-8.5,.760
Kevin Durant,SF,GS,68,34.2,26.4,9.3-18.0,.516,2.5-6.1,.419,5.3-5.9,.889
Russell Westbrook,PG,OKC,80,36.4,25.4,9.5-21.1,.449,1.2-4.1,.298,5.2-7.1,.737
Kyrie Irving,PG,BOS,60,32.2,24.4,8.9-18.1,.491,2.8-6.8,.408,3.9-4.4,.889
LaMarcus Aldridge,PF,SA,75,33.5,23.1,9.2-18.0,.510,0.4-1.2,.293,4.5-5.3,.837
Victor Oladipo,SG,IND,75,34.0,23.1,8.5-17.9,.477,2.1-5.8,.371,3.9-4.9,.799
DeMar DeRozan,SG,TOR,80,33.9,23.0,8.1-17.7,.456,1.1-3.6,.310,5.8-7.0,.825
Joel Embiid,C,PHI,63,30.3,22.9,8.1-16.8,.483,1.0-3.4,.308,5.7-7.4,.769
Bradley Beal,SG,WSH,82,36.3,22.6,8.3-18.1,.460,2.4-6.5,.375,3.6-4.5,.791
Lou Williams,SG,LAC,79,32.8,22.6,7.4-16.9,.435,2.4-6.6,.359,5.5-6.2,.880
Jimmy Butler,SG,MIN,59,36.7,22.2,7.4-15.6,.474,1.2-3.4,.350,6.2-7.2,.854
Kemba Walker,PG,CHA,80,34.2,22.1,7.4-17.0,.431,2.9-7.5,.384,4.5-5.3,.864
Paul George,SF,OKC,79,36.6,21.9,7.3-17.0,.430,3.1-7.7,.401,4.3-5.2,.822
Blake Griffin,PF,DET/LAC,58,34.0,21.4,7.5-17.2,.438,1.9-5.6,.345,4.5-5.7,.785
CJ McCollum,SG,POR,81,36.1,21.4,8.2-18.6,.443,2.3-5.9,.397,2.6-3.1,.836
Karl-Anthony Towns,C,MIN,82,35.6,21.3,7.8-14.3,.545,1.5-3.5,.421,4.2-4.9,.858
Donovan Mitchell,SG,UTAH,79,33.4,20.5,7.5-17.2,.437,2.4-7.0,.340,3.0-3.8,.805
Khris Middleton,SF,MIL,82,36.4,20.1,7.2-15.5,.466,1.8-5.0,.359,3.9-4.4,.884
Klay Thompson,SG,GS,73,34.3,20.0,7.9-16.1,.488,3.1-7.1,.440,1.1-1.3,.837
TJ Warren,SF,PHX,65,33.0,19.6,8.1-16.4,.498,0.3-1.4,.222,3.0-3.9,.757
Dennis Schroder,PG,ATL,67,31.0,19.4,7.5-17.1,.436,1.1-3.9,.290,3.4-4.0,.849
Jrue Holiday,PG,NO,81,36.1,19.0,7.6-15.4,.494,1.5-4.4,.337,2.3-2.9,.786
Harrison Barnes,SF,DAL,77,34.2,18.9,7.0-15.7,.445,1.5-4.3,.357,3.4-4.1,.827
Chris Paul,PG,HOU,58,31.8,18.6,6.3-13.8,.460,2.5-6.5,.380,3.5-3.8,.919
Tobias Harris,SF,DET/LAC,80,33.4,18.6,7.0-15.3,.460,2.3-5.6,.411,2.2-2.7,.829
Nikola Jokic,C,DEN,75,32.5,18.5,6.7-13.5,.499,1.5-3.7,.396,3.5-4.2,.850
Eric Gordon,SG,HOU,69,31.2,18.0,6.0-14.1,.428,3.2-8.8,.359,2.8-3.5,.809
Eric Bledsoe,PG,MIL/PHX,74,31.4,17.7,6.3-13.4,.473,1.7-4.9,.347,3.4-4.3,.795
Andrew Wiggins,SF,MIN,82,36.3,17.7,6.9-15.9,.438,1.4-4.1,.331,2.5-3.8,.643
Aaron Gordon,PF,ORL,58,32.9,17.6,6.5-14.9,.434,2.0-5.9,.336,2.7-3.9,.698
Kevin Love,PF,CLE,59,28.0,17.6,5.7-12.4,.458,2.3-5.6,.415,4.0-4.5,.880
Gary Harris,SG,DEN,67,34.4,17.5,6.6-13.6,.485,2.3-5.9,.396,2.0-2.4,.827
Goran Dragic,PG,MIA,75,31.7,17.3,6.5-14.3,.450,1.5-4.0,.370,2.9-3.6,.801
Marc Gasol,C,MEM,73,33.0,17.2,5.9-14.2,.420,1.5-4.4,.341,3.8-4.6,.834
JJ Redick,SG,PHI,70,30.2,17.1,5.8-12.6,.460,2.8-6.6,.420,2.8-3.1,.904
Jamal Murray,PG,DEN,81,31.7,16.7,5.9-13.1,.451,2.0-5.4,.378,2.8-3.1,.905
Dwight Howard,C,CHA,81,30.4,16.6,6.2-11.2,.555,0.0-0.1,.143,4.1-7.2,.574
Kyle Lowry,PG,TOR,78,32.2,16.2,5.2-12.1,.427,3.1-7.6,.399,2.9-3.3,.854
Carmelo Anthony,PF,OKC,78,32.1,16.2,6.1-15.0,.404,2.2-6.1,.357,1.9-2.5,.767
Julius Randle,PF,LAL,82,26.7,16.1,6.1-11.0,.558,0.1-0.5,.222,3.7-5.2,.718
Kyle Kuzma,PF,LAL,77,31.2,16.1,6.1-13.5,.450,2.1-5.6,.366,1.9-2.7,.707
Brandon Ingram,SF,LAL,59,33.5,16.1,6.1-12.9,.470,0.7-1.8,.390,3.3-4.8,.681
Ben Simmons,PG,PHI,81,33.7,15.8,6.7-12.3,.545,0.0-0.1,.000,2.4-4.2,.560
Will Barton,SG,DEN,81,33.1,15.7,5.7-12.7,.452,1.9-5.2,.370,2.2-2.8,.805
Lauri Markkanen,PF,CHI,68,29.7,15.2,5.5-12.7,.434,2.1-5.9,.362,2.1-2.4,.843
Dennis Smith Jr.,PG,DAL,69,29.7,15.2,5.9-14.8,.395,1.5-4.9,.313,1.9-2.8,.694
Austin Rivers,PG,LAC,61,33.7,15.1,5.6-13.2,.424,2.2-5.9,.378,1.7-2.6,.642
Andre Drummond,C,DET,78,33.7,15.0,6.0-11.3,.529,0.0-0.1,.000,3.1-5.1,.605
Otto Porter Jr.,SF,WSH,77,31.6,14.7,5.8-11.5,.503,1.8-4.1,.441,1.4-1.7,.828
Rodney Hood,SG,CLE/UTAH,60,26.9,14.7,5.4-12.5,.429,2.1-5.6,.381,1.9-2.2,.860
Dario Saric,PF,PHI,78,29.6,14.6,5.2-11.4,.453,2.0-5.1,.393,2.3-2.7,.860
Jaylen Brown,SG,BOS,70,30.7,14.5,5.3-11.5,.465,1.7-4.4,.395,2.1-3.3,.644
Zach Randolph,PF,SAC,59,25.6,14.5,6.1-12.9,.473,0.9-2.5,.347,1.4-1.8,.785
Jusuf Nurkic,C,POR,79,26.4,14.3,6.1-12.0,.505,0.0-0.1,.000,2.2-3.5,.630
Bojan Bogdanovic,SF,IND,80,30.8,14.3,5.1-10.7,.474,1.9-4.8,.402,2.2-2.6,.868
Jeff Teague,PG,MIN,70,33.0,14.2,5.1-11.3,.446,1.2-3.3,.368,2.9-3.4,.845
Taurean Prince,SF,ATL,82,30.0,14.1,5.1-11.9,.426,2.1-5.6,.385,1.9-2.2,.844
Enes Kanter,C,NY,71,25.8,14.1,5.9-10.0,.592,0.0-0.0,.000,2.2-2.6,.848
Jonathon Simmons,SF,ORL,69,29.4,13.9,5.1-11.0,.465,1.0-3.0,.338,2.7-3.5,.768
Rondae Hollis-Jefferson,SF,BKN,68,28.3,13.9,5.0-10.6,.472,0.2-0.8,.241,3.7-4.6,.788
Jayson Tatum,SF,BOS,80,30.5,13.9,5.0-10.4,.475,1.3-3.0,.434,2.7-3.2,.826
Steven Adams,C,OKC,76,32.7,13.9,5.9-9.4,.629,0.0-0.0,.000,2.1-3.8,.559
Jordan Clarkson,PG,CLE/LAL,81,23.3,13.9,5.3-11.8,.451,1.4-3.9,.352,1.9-2.3,.800
Clint Capela,C,HOU,74,27.5,13.9,6.0-9.1,.652,0.0-0.0,.000,1.9-3.5,.560
Buddy Hield,SG,SAC,80,25.3,13.5,5.2-11.7,.446,2.2-5.1,.431,0.9-1.0,.877
DeMarre Carroll,SF,BKN,73,29.9,13.5,4.5-10.8,.414,2.0-5.4,.371,2.6-3.4,.764
Kentavious Caldwell-Pope,SG,LAL,74,33.2,13.4,4.6-10.8,.426,2.1-5.6,.383,2.1-2.6,.789
Bobby Portis,PF,CHI,73,22.5,13.2,5.2-11.1,.471,1.1-3.1,.359,1.6-2.1,.769
Allen Crabbe,SG,BKN,75,29.3,13.2,4.5-11.0,.408,2.7-7.1,.378,1.5-1.8,.852
Michael Beasley,SF,NY,74,22.3,13.2,5.5-10.9,.507,0.5-1.2,.395,1.7-2.1,.780
Josh Jackson,SF,PHX,77,25.4,13.1,5.1-12.1,.417,0.7-2.8,.263,2.3-3.6,.634
Ricky Rubio,PG,UTAH,77,29.3,13.1,4.5-10.7,.418,1.2-3.5,.352,2.9-3.3,.866
Brook Lopez,C,LAL,74,23.4,13.0,5.0-10.7,.465,1.5-4.4,.345,1.5-2.1,.703
